Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,City,Locality,Latitude,Longitude,About,Type,Facilities,Vote_Count,Known_For,Name,Contact,Price_for_2,Cuisine,Rating,Chain_Name,Old_ID,id
1885.0,4.4,1844.0,https://www.zomato.com/ncr/rustoms-ito-new-delhi,"Delhi Parsi Anjuman, LNJP Colony, Bahadur Shah Zafar Road, Near Maulana Azad Medical College Campus, ITO, New Delhi",Delhi,ITO,28.638167,77.240472,"Rustom's is a Parsi restaurant in New Delhi, offering a unique culinary experience rooted in traditional Parsi recipes and street food influences.",Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining, Quick Service]",,Good Food and Service,Rustom's,9.1991E+11,2100.0,"Parsi, Street Food, North Indian, Desserts, Beverages",4.9,Rustom's,0,rustoms-c8995cbf
3748.0,3.9,37.0,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",Delhi,Pragati Maidan,28.613429,77.242471,Cafe Lota offers contemporary versions of regional Indian dishes paired with a variety of grains like red rice and millet. Highlights include amaranth-encrusted fish and chips with sweet potato fries.,Cafe,"[Outdoor Seating, WiFi, Wheelchair Accessible, Family Dining]",,"Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi | Artistic Decor, Natural Ambience, Fusion Menu, Serene Ambience, Fusion Food, Museum Setting, Cultural Ambiance, Healthy Food Options",Cafe Lota,9.17839E+11,1200.0,"Cafe, South Indian, North Indian, Beverages",4.9,Cafe Lota,1,cafe-lota-90c4677b
1371.0,,0.0,https://www.zomato.com/ncr/dum-pukht-itc-maurya-chanakyapuri-new-delhi,"ITC Maurya, Chanakyapuri, New Delhi",Delhi,ITC Maurya,28.5982003,77.17366073,"Indulge in the royal flavors of Mughlai cuisine at Dum-Pukht, featuring rich gravies and tender meats.",5 Star/Luxury,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment, Family Dining]",,"Royal ambiance and Mughlai cuisine, also received the ""Times Food Award 2015"" for Culinary Heritage, Live Entertainment",Dum-Pukht - ITC Maurya,9.11146E+11,5000.0,"Mughlai, North Indian, Desserts",4.9,Dum-Pukht,2,dumpukht-itc-maurya-cd996c2c
2636.0,4.4,1238.0,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Shop 6, Ground Floor, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,Cyber Hub,28.49446439,77.08853245,"Burma Burma is an Asian restaurant specializing in Burmese cuisine, offering a unique culinary experience.",Cafe,"[Air Conditioning, WiFi, Home Delivery, Parking Available, Credit Card Accepted, Outdoor Seating, TV/Screening, Digital Wallet Accepted]",,"Coconut Milk Dessert, Honey Caviar, Kaffir Lime Cooler, Samosa Curry, Samosa Soup, Corn Curry | Knowledgeable Staff, Authentic, Soothing Ambience, Dessert Menu, Pure Veg, Cozy",Burma Burma,9.11244E+11,1600.0,"Asian, Burmese, Bubble Tea, Desserts, Salad",4.9,Burma Burma,3,burma-burma-2aa73482
6487.0,,0.0,https://www.zomato.com/ncr/the-big-chill-khan-market-new-delhi,"68-A, Khan Market, New Delhi",Delhi,Khan Market,28.60035007,77.22749334,The Big Chill offers a diverse Continental menu with international flavors and contemporary presentation.,Fine Dining,"[Air Conditioning, Home Delivery, Parking Available, Credit Card Accepted, Digital Wallet Accepted]",,"Irish Cream Tiramisu, Penne Vodka, Mississippi Mudpie, Iced Tea Pitcher, Tuna Melt, Banofi Pie | Retro Ambience, Yummy Desserts, Big Portions, Big Menu, Great Decor",The Big Chill,9.11142E+11,1500.0,"Continental, American, Italian",4.9,The Big Chill,4,the-big-chill-39f3cfbc
2518.0,4.2,931.0,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"84-85, Meharchand Market, Lodhi Road, Near Lodhi Colony, New Delhi",Delhi,Lodhi Colony,28.584296,77.226613,Carnatic Cafe is a South Indian restaurant with a rich culinary heritage.,Cafe,"[Air Conditioning, Home Delivery, Parking Available, Credit Card Accepted, Digital Wallet Accepted]",,"Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare | Cosy Ambience, Live Kitchen, Calm, Nice Decor",Carnatic Cafe,9.19667E+11,600.0,South Indian,4.9,Carnatic Cafe,5,carnatic-cafe-792b969a
1299.0,3.8,25.0,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15,"SCO 23, Sector 15, Gurgaon",Gurgaon,Sector 15,28.45797541,77.0446267,"Cocktails & Dreams, Speakeasy is a Nepalese restaurant that showcases the rich culinary heritage of Nepal and Tibet through its unique concept.",Bar/Lounge,"[Air Conditioning, Credit Card Accepted, Full Bar Available, Serves Alcohol, WiFi, Live Entertainment, Valet Available, Digital Wallet Accepted, Amex Accepted, Wheelchair Accessible]",,"Classic Martini, Coktails, Bloody Mary, Calamari, Pork | Jazz Music, Band Playing, Bartender, Live Band, Live Performances, Bar Counter, Live Entertainment","Cocktails & Dreams, Speakeasy",9.11244E+11,2500.0,"Nepalese, Tibetan, Beverages",4.9,Cocktails & Dreams,6,cocktails-dreams-spe-0780ac51
4014.0,4.5,6969.0,https://www.zomato.com/NaturalsCP,"L-8, L Block, Outer Circle, Connaught Place, New Delhi",Delhi,Connaught Place,28.63444917,77.22203437,,Dessert/Bakery,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Family Dining]",,"Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream | Bank for the Buck, Totally Worth it, Coffee Date, Great Flavour",Natural Ice Cream,9.11144E+11,400.0,"Ice Cream, Desserts",4.9,Natural Ice Cream,7,natural-ice-cream-e4c06123
1120.0,,5.0,https://www.zomato.com/ncr/kuremal-mohan-lal-kulfi-wale-chawri-bazar-new-delhi,"526, Kucha Pati Ram, Bazar Sita Ram, Near Chawri Bazar Metro Station, Chawri Bazar, New Delhi",Delhi,Chawri Bazar,28.64766195,77.22699109,"Kuremal Mohan Lal Kulfi Wale is renowned for its traditional kulfi, a frozen dessert crafted using age-old recipes.",Dessert/Bakery,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Family Dining]",,"Orange Kulfi, Jamun Kulfi, Mixed Fruit, Fruit Cream, Ice Creams, Dessert | Bank for the Buck, Totally Worth it, Authenticity, Concept, Owner",Kuremal Mohan Lal Kulfi Wale,9.19811E+11,200.0,"Ice Cream, Desserts",4.9,Kuremal Mohan Lal Kulfi Wale,8,kuremal-mohan-lal-ku-397ed518
2480.0,4.2,573.0,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"HS-16, Main Market, Kailash Colony, New Delhi",Delhi,Kailash Colony,28.55293914,77.24094898,Juggernaut is a South Indian restaurant featuring a variety of traditional dishes.,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, Full Bar Available, Serves Alcohol, Family Dining]",,"Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry | Everything was very Good, Calm, Lovely Ambience, Soothing Music, Warm Welcome, Ambience was Super Cool",Juggernaut,9.11141E+11,700.0,"South Indian, North Indian, Fast Food, Desserts, Beverages",4.8,Juggernaut,9,juggernaut-6d854323
803.0,4.4,217.0,https://www.zomato.com/ncr/comorin-golf-course-road,"101, 1st Floor, Plaza Level, Two Horizon Center, Golf Course Road, Gurgaon",Gurgaon,Two Horizon Center,28.45154524,77.0971011,Comorin offers a delightful North Indian dining experience with traditional cooking methods.,Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining]",,"Champaran Style Mutton, Gunpowder Idli, Coktails, Sev Puri, Haleem, Chocolate Dessert | Bar Games, Vintage Decor, Soft Music, Fancy Crowd, Great Recommendations, Courteous Staff",Comorin,9.11245E+11,2500.0,"North Indian, Desserts, Beverages",4.8,Comorin,10,comorin-d9a0287b
1381.0,4.0,75.0,https://www.zomato.com/ncr/vietnom-dlf-cyber-city,"17-18, DLF Phase 2, DLF Cyber Hub, Near DLF Cyber City, Gurgaon",Gurgaon,Cyber Hub,28.49569519,77.08890092,,Cafe,"[Air Conditioning, WiFi, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Outdoor Seating, Quick Service, Valet Available, Amex Accepted, Wheelchair Accessible, Full Bar Available, Serves Alcohol]",,Good Food and Service,Viet:Nom,9.18512E+11,2000.0,"Vietnamese, Beverages",4.8,Viet:Nom,11,vietnom-2dbe9b6b
